sensor_name, friendly_name, databot_tutorial_url, save_to_file, display_chart, data_column
accl,Acceleration,,False,False,acceleration_x|acceleration_y|acceleration_z
Laccl,Linear Acceleration,,False,False,linear_acceleration_x|linear_acceleration_y|linear_acceleration_z|absolute_linear_acceleration
gyro,Gyroscope,,False,False,gyro_x|gyro_y|gyro_z
magneto,Magneto,,False,False,mag_x|mag_y|mag_z
IMUtemp,IMU Temperature,,False,False,tbd
Etemp1,External Temperature 1,,False,False,tbd
Etemp2,External Temperature 2,,False,False,tbd
pressure,Atmospheric Pressure,,False,False,pressure
alti,Altimeter,,False,False,altitude
ambLight,Ambient Light,,False,False,ambient_light_in_lux
rgbLight,RGB Light,,False,False,r_light|g_light|b_light
UV,UltraViolet Light,,False,False,uv_index
co2,CO2,,False,False,co2
voc,Volatile Organic Compound,,False,False,voc
hum,Humidity,,False,False,humidity
humTemp,Humidity Adjusted Temperature,,False,False,humidity_temperature
Sdist,Short Distance,,False,False,tbd
noise,Noise,,False,False,tbd
Ldist,Long Distance,,False,False,tbd
gesture,Gesture,,False,False,tbd
